,lambda_x,lambda_y,stress_x,stress_y,experiment_type,P11_model,P22_model
242,tensor(1.0529),tensor(1.0496),tensor(0.0187),tensor(0.2447),OffX,0.02072597,0.11738904
243,tensor(1.0566),tensor(1.0533),tensor(0.0226),tensor(0.2860),OffX,0.024619931,0.13027893
244,tensor(1.0605),tensor(1.0577),tensor(0.0272),tensor(0.3325),OffX,0.029636482,0.14614083
245,tensor(1.0649),tensor(1.0627),tensor(0.0330),tensor(0.3843),OffX,0.036088355,0.16540904
246,tensor(1.0688),tensor(1.0677),tensor(0.0394),tensor(0.4435),OffX,0.04315839,0.18573657
247,tensor(1.0719),tensor(1.0715),tensor(0.0475),tensor(0.5102),OffX,0.049251214,0.20236948
248,tensor(1.0736),tensor(1.0740),tensor(0.0571),tensor(0.5866),OffX,0.05336278,0.21358305
249,tensor(1.0014),tensor(1.0003),tensor(0.),tensor(0.0020),OffY,3.6994086e-05,0.00056945614
250,tensor(1.0103),tensor(1.0033),tensor(0.0011),tensor(0.0069),OffY,0.00044549027,0.0062622316
251,tensor(1.0186),tensor(1.0057),tensor(0.0021),tensor(0.0121),OffY,0.0009366049,0.011214683
252,tensor(1.0265),tensor(1.0076),tensor(0.0029),tensor(0.0156),OffY,0.001571218,0.015627064
253,tensor(1.0340),tensor(1.0091),tensor(0.0037),tensor(0.0203),OffY,0.0023859355,0.019699883
254,tensor(1.0412),tensor(1.0105),tensor(0.0045),tensor(0.0263),OffY,0.003415619,0.02365073
255,tensor(1.0479),tensor(1.0117),tensor(0.0058),tensor(0.0312),OffY,0.004647567,0.02764905
256,tensor(1.0557),tensor(1.0132),tensor(0.0070),tensor(0.0369),OffY,0.0065015797,0.032921325
257,tensor(1.0630),tensor(1.0146),tensor(0.0084),tensor(0.0431),OffY,0.008653764,0.038344614
258,tensor(1.0709),tensor(1.0160),tensor(0.0102),tensor(0.0491),OffY,0.011471208,0.0446751
259,tensor(1.0786),tensor(1.0173),tensor(0.0119),tensor(0.0562),OffY,0.014740862,0.051356748
260,tensor(1.0854),tensor(1.0182),tensor(0.0142),tensor(0.0647),OffY,0.018015064,0.0573948
261,tensor(1.0929),tensor(1.0194),tensor(0.0171),tensor(0.0734),OffY,0.02221642,0.064991206
262,tensor(1.1004),tensor(1.0204),tensor(0.0203),tensor(0.0860),OffY,0.026998054,0.073208995
263,tensor(1.1080),tensor(1.0216),tensor(0.0235),tensor(0.0962),OffY,0.032604124,0.0826347
264,tensor(1.1153),tensor(1.0227),tensor(0.0279),tensor(0.1120),OffY,0.038605303,0.09245963
265,tensor(1.1238),tensor(1.0242),tensor(0.0329),tensor(0.1294),OffY,0.04678171,0.10588063
266,tensor(1.1321),tensor(1.0257),tensor(0.0387),tensor(0.1472),OffY,0.055771314,0.1202784
267,tensor(1.1388),tensor(1.0268),tensor(0.0468),tensor(0.1715),OffY,0.06357791,0.13250837
268,tensor(1.1430),tensor(1.0273),tensor(0.0563),tensor(0.1968),OffY,0.06872973,0.14033371
