,lambda,P_experimental,I1,I2,F,experiment_type,P_model_PDMS_StrainEnergyCANN_polinomial3_0
103,1.0629581,23.41,4.1298799223556095,4.1298799223556095,"([1.0, 1.0629581, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,321.74057
104,1.084297,30.18,4.175699984209,4.175699984209,"([1.0, 1.084297, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,346.46207
105,1.104569,36.74,4.220072675761,4.220072675761,"([1.0, 1.104569, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,371.42682
106,1.1259079,43.12,4.26766859928241,4.26766859928241,"([1.0, 1.1259079, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,399.34085
107,1.1472468,49.69,4.316175220110241,4.316175220110241,"([1.0, 1.1472468, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,429.01508
108,1.1685857,55.33,4.36559253824449,4.36559253824449,"([1.0, 1.1685857, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,460.53714
109,1.1888577,60.59,4.41338263084929,4.41338263084929,"([1.0, 1.1888577, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,492.27682
110,1.2101966,66.48,4.46457581065156,4.46457581065156,"([1.0, 1.2101966, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,527.66473
111,1.2315355,71.55,4.5166796877602495,4.5166796877602495,"([1.0, 1.2315355, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,565.17596
112,1.2528744,76.51,4.569694262175361,4.569694262175361,"([1.0, 1.2528744, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,604.91003
113,1.2731464,81.07,4.62090175583296,4.62090175583296,"([1.0, 1.2731464, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,644.81055
114,1.2944853,85.85,4.67569219191609,4.67569219191609,"([1.0, 1.2944853, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,689.17914
115,1.3158242,90.63,4.73139332530564,4.73139332530564,"([1.0, 1.3158242, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,736.0839
116,1.3371631,94.94,4.78800515600161,4.78800515600161,"([1.0, 1.3371631, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,785.6384
117,1.3574351,98.84,4.84263005071201,4.84263005071201,"([1.0, 1.3574351, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,835.2749
118,1.378774,103.73,4.901017743076,4.901017743076,"([1.0, 1.378774, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,890.33356
119,1.4001129,108.19,4.96031613274641,4.96031613274641,"([1.0, 1.4001129, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,948.3954
