Xlam_clamps,PX_hist,Ylam_clamps,PY_hist,file,Xlam,Ylam,cycle_number,PX,PY
1.036,0.0299233612734303,1.01848,0.0148887576912851,csv_616.csv,1.0248992551927767,1.000371372523968,3,0.0253823679227664,0.0129202743969375
1.038,0.0324780750575596,1.01952,0.0167255909884632,csv_617.csv,1.0258526738494012,1.0005150232883817,3,0.02787340546003285,0.014436472211488149
1.04,0.0348136272729212,1.02048,0.018244053814375,csv_618.csv,1.0273570332544453,1.0005844869330105,3,0.0300978342929943,0.01606180275525235
1.042,0.0375124719023554,1.02152,0.0197977817735438,csv_619.csv,1.028979444026731,1.000819944892431,3,0.03256076693185015,0.0175511171362169
1.044,0.0402412070431398,1.02248,0.0215791545743864,csv_620.csv,1.0304971919164212,1.0010163351689103,3,0.0352518881609094,0.019223132316104598
1.046,0.042751344504096,1.02352,0.0235384434247097,csv_621.csv,1.032089157046303,1.0012375962856446,3,0.03762534574126955,0.02111433049766545
1.048,0.0452678268680642,1.02448,0.0247676253543362,csv_622.csv,1.0328355653866983,1.0015325286010182,3,0.04009580457398475,0.022528183887745253
1.05,0.047802785133484,1.02552,0.0263590756443278,csv_623.csv,1.0346068148253358,1.0016140278602323,3,0.04262222983532845,0.0239462218924323
1.052,0.0504222752306961,1.02648,0.0284843915403439,csv_624.csv,1.0358330095382862,1.002060900109285,3,0.0450121695627504,0.0259725868340032
1.054,0.0527899363756521,1.02752,0.0301499496590477,csv_625.csv,1.0373712819909606,1.002371958589574,3,0.047345394841693755,0.02738754496535105
1.056,0.0553242103086899,1.02848,0.0319704139997749,csv_626.csv,1.0383865289203218,1.0025114827234316,3,0.049875342307398,0.029421884881478746
1.058,0.0578902020130869,1.02952,0.0337129745989578,csv_627.csv,1.040010159527483,1.0028538226130663,3,0.052381086394967996,0.03104504490700105
1.06,0.0603639651114825,1.03048,0.0353372328246407,csv_628.csv,1.0413335829283776,1.0030994601610068,3,0.054694278103433955,0.03276821780515965
1.062,0.0630189678882958,1.03152,0.0376214434181834,csv_629.csv,1.0427448664732062,1.003474871945309,3,0.057332741855103696,0.03445022986765165
1.064,0.0653220521410405,1.03248,0.0389572849266852,csv_630.csv,1.0436512493502053,1.0037567505928848,3,0.059626584467792704,0.0363347245906321
1.066,0.0676060282484731,1.03352,0.0407844829374382,csv_631.csv,1.0452812840232326,1.0039901319734932,3,0.06183301866611565,0.03795349120375335
1.068,0.0699317296262301,1.03448,0.0424521263046967,csv_632.csv,1.046691422597006,1.0045382788397488,3,0.06409137805910485,0.03929726655783475
1.07,0.0724462920278806,1.03552,0.0449361185990319,csv_633.csv,1.0480347871786808,1.004876460271282,3,0.0665858286589677,0.04172692853474225
1.072,0.0746556368447615,1.03648,0.0461174825868629,csv_634.csv,1.0495505942947378,1.0051400218774496,3,0.06880953143373955,0.04323623133718105
1.074,0.077128725616851,1.03752,0.0481926032485557,csv_635.csv,1.0503975252260478,1.0055346076348353,3,0.07116695294753009,0.0450286630329357
1.076,0.0795181866947704,1.03848,0.0502466022510754,csv_636.csv,1.051949058654143,1.0057693573787247,3,0.0735473105217879,0.04712341972244065
1.078,0.0816008834938298,1.03952,0.0517394213008906,csv_637.csv,1.053176791818794,1.0062456747690196,3,0.07562106126508715,0.048175936507016
1.08,0.083830972462045,1.04048,0.0529063422413324,csv_638.csv,1.0546811995488397,1.0066970500938572,3,0.07778215098318035,0.04990917273413565
1.082,0.0859826812516676,1.04152,0.0561825988231146,csv_639.csv,1.0556502010609738,1.0068523379085677,3,0.0800799123804581,0.05250312146662785
1.084,0.0881951090127508,1.04248,0.0575062258724439,csv_640.csv,1.056979468291434,1.0073400020049323,3,0.0821786868468399,0.05379081849037915
1.086,0.0905019135288502,1.04352,0.0590950555783609,csv_641.csv,1.058137343363461,1.0076898406497867,3,0.0844045964244037,0.0555954153804674
1.088,0.0928001944973813,1.04448,0.0611450120824187,csv_642.csv,1.0595691731532773,1.0080777575290367,3,0.08677454763824766,0.05739976638557205
1.09,0.0949294873033151,1.04552,0.062937098746525,csv_643.csv,1.0609214112215004,1.008604872145611,3,0.08883559953830686,0.0587848037977799
1.092,0.0968254892187269,1.04648,0.0641703214805136,csv_644.csv,1.0619004181986869,1.008698851431044,3,0.09086129157584555,0.060558490091605854
1.094,0.0992070147450644,1.04752,0.0664844080877864,csv_645.csv,1.0631018990709262,1.0092540310211005,3,0.0930167206841501,0.06268691691945649
1.096,0.1012476892115823,1.04848,0.0683885026036677,csv_646.csv,1.0646705747932796,1.0097204922763878,3,0.09523535005007355,0.0644268363230179
1.098,0.1033705840954395,1.04952,0.0698548477685105,csv_647.csv,1.0660100678341051,1.0099172187722851,3,0.09736401414821075,0.06598096681910985
